index	id	firstname	surname	born	died	bornCountry	diedCountry	gender	year	category
209	316	Johannes Andreas Grib	Fibiger	04/23/1867	1/30/2028	Denmark	Denmark	male	1926.0	medicine
210	348	Antonio Caetano de Abreu Freire Egas	Moniz	11/29/1874	12/13/1955	Portugal	Portugal	male	1949.0	medicine
211	348	Antonio Caetano de Abreu Freire Egas	Moniz	11/29/1874	12/13/1955	Portugal	Portugal	male	1949.0	medicine
212	317	Julius	Wagner-Jauregg	03/07/1857	9/27/1940	Austria	Austria	male	1927.0	medicine
213	36	Prince Louis-Victor Pierre Raymond	de Broglie	08/15/1892	3/19/1987	France	France	male	1929.0	physics
214	383	Peyton	Rous	10/05/1879	2/16/1972	USA	USA	male	1966.0	medicine
215	335	Henrik Carl Peter	Dam	02/21/1895	4/17/1976	Denmark	Denmark	male	1943.0	medicine
216	311	Archibald Vivian	Hill	09/26/1886	6/3/1977	United Kingdom	United Kingdom	male	1922.0	medicine
217	204	James Batcheller	Sumner	11/19/1887	8/12/1955	USA	USA	male	1946.0	chemistry
218	180	Francis William	Aston	09/01/1877	11/20/1945	United Kingdom	United Kingdom	male	1922.0	chemistry
219	651	Eugenio	Montale	10/12/1896	9/12/1981	Italy	Italy	male	1975.0	literature
220	605	John	Galsworthy	08/14/1867	1/31/1933	United Kingdom	United Kingdom	male	1932.0	literature
221	635	Giorgos	Seferis	3/13/1900	9/20/1971	Ottoman Empire (now Turkey)	Greece	male	1963.0	literature
222	680	Simon	Kuznets	4/30/1901	7/8/1985	Russian Empire (now Belarus)	USA	male	1971.0	economics
223	845	Barack H.	Obama	8/4/1961	0000-00-00	USA		male	2009.0	peace
224	246	Paul J.	Flory	6/19/1910	9/8/1985	USA	USA	male	1974.0	chemistry
225	279	Michael	Smith	4/26/1932	10/4/2000	United Kingdom	Canada	male	1993.0	chemistry
226	61	Max	Born	12/11/1882	1/5/1970	Germany (now Poland)	West Germany (now Germany)	male	1954.0	physics
227	254	Paul	Berg	6/30/1926	0000-00-00	USA		male	1980.0	chemistry
228	232	Robert S.	Mulliken	06/07/1896	10/31/1986	USA	USA	male	1966.0	chemistry
229	127	Ernst	Ruska	12/25/1906	5/27/1988	Germany	Germany	male	1986.0	physics
230	594	Wladyslaw Stanislaw	Reymont	05/07/1867	12/5/2025	Russian Empire (now Poland)	Poland	male	1924.0	literature
231	654	Isaac Bashevis	Singer	7/14/1904	7/24/1991	Russian Empire (now Poland)	USA	male	1978.0	literature
232	629	Boris Leonidovich	Pasternak	02/10/1890	5/30/1960	Russia	Russia	male	1958.0	literature
233	833	Martti	Ahtisaari	6/23/1937	0000-00-00	Finland (now Russia)		male	2008.0	peace
234	628	Albert	Camus	11/7/1913	1/4/1960	French Algeria (now Algeria)	France	male	1957.0	literature
235	617	Hermann	Hesse	07/02/1877	8/9/1962	Germany	Switzerland	male	1946.0	literature
236	142	Georges	Charpak	8/1/1924	9/29/2010	Poland	France	male	1992.0	physics
237	142	Georges	Charpak	8/1/1924	9/29/2010	Poland	France	male	1992.0	physics
238	93	Dennis	Gabor	6/5/1900	2/8/1979	Hungary	United Kingdom	male	1971.0	physics
239	17	Nils Gustaf	Dal_n	11/30/1869	12/9/1937	Sweden	Sweden	male	1912.0	physics
240	181	Fritz	Pregl	09/03/1869	12/13/1930	Austria-Hungary (now Slovenia)	Austria	male	1923.0	chemistry
241	278	Kary B.	Mullis	12/28/1944	0000-00-00	USA		male	1993.0	chemistry
242	297	Robert	Koch	12/11/1843	5/27/2010	Germany	Germany	male	1905.0	medicine
243	167	Ernest	Rutherford	08/30/1871	10/19/1937	New Zealand	United Kingdom	male	1908.0	chemistry
244	184	Heinrich Otto	Wieland	06/04/1877	8/5/1957	Germany	West Germany (now Germany)	male	1927.0	chemistry
245	8	Lord Rayleigh	(John William Strutt)	11/12/1842	6/30/1919	United Kingdom	United Kingdom	male	1904.0	physics
246	52	Sir Edward Victor	Appleton	09/06/1892	4/21/1965	United Kingdom	Scotland	male	1947.0	physics
